,t,xr,xr_dot,xw,yr,θr,θr_dot,θw,θw_dot,tau,tau_p1,tau_p1_nn,xr_sp,θr_sp
474,16.590000000000057,-0.2831048764663815,-0.08618390562728928,2.2165447964454557,5.454516615861734,-0.42971120338684304,-0.13751653192971108,0.5541361991113639,0.1847288214877443,-71.0780528,-72.3794815,-78.96098305810901,-0.30447578982695245,0.0
475,16.625000000000057,-0.28348590230710435,-0.08315444835532726,2.241666501037264,5.442757145040018,-0.434391765595943,-0.12996498351450445,0.560416625259316,0.17415886318292484,-72.3794815,-73.4919687,-79.87810122938603,-0.30447578982695245,0.0
476,16.660000000000057,-0.28385151454193647,-0.07977380742549278,2.2652970457046577,5.4315597776138596,-0.43880512197017785,-0.1222465261724275,0.5663242614261644,0.16342633740226806,-73.4919687,-74.4525572,-80.6527566509589,-0.30447578982695245,0.0
477,16.695000000000057,-0.2842026002645759,-0.0761339329056907,2.2874153860775976,5.420957565995276,-0.44294598501193816,-0.11439280829286558,0.5718538465193994,0.1525557292128757,-74.4525572,-75.2838712,-81.31347084088912,-0.30447578982695245,0.0
478,16.730000000000057,-0.2845421583279455,-0.0723073361416734,2.3080036296716084,5.410980164177815,-0.4468100721474034,-0.10642961146081681,0.5770009074179021,0.14156758315580686,-75.2838712,-76.0099939,-81.87783105072988,-0.30447578982695245,0.0
479,16.765000000000057,-0.2848746211863067,-0.06834600080992992,2.3270464686616883,5.401654211480707,-0.45039389463461754,-0.09837652067954702,0.5817616171654221,0.13047828081683804,-76.0099939,-76.6449016,-82.36279161293254,-0.30447578982695245,0.0
480,16.800000000000058,-0.2852053038994269,-0.06428993181429599,2.3445307178889307,5.393003658047039,-0.4536945857694104,-0.09024949939529699,0.5861326794722327,0.11930176613937149,-76.6449016,-77.2007183,-82.77819340488307,-0.30447578982695245,0.0
481,16.835000000000058,-0.28554001468723555,-0.060168778541002665,2.360444996493152,5.385049983111459,-0.4567097826913214,-0.08206137798148964,0.590111249123288,0.1080498723369838,-77.2007183,-77.6859597,-83.13204654033744,-0.30447578982695245,0.0
482,16.870000000000058,-0.28588474464101266,-0.05600490749452974,2.374779475843012,5.377812371758254,-0.4594375329342898,-0.07382277929103193,0.593694868960753,0.09673294206291545,-77.6859597,-78.1066129,-83.4296391930908,-0.30447578982695245,0.0
483,16.905000000000058,-0.2862454417426705,-0.0518155588431215,2.387525701355033,5.371307836489917,-0.4618762285417294,-0.06554276839997773,0.5968814253387582,0.08536026288918622,-78.1066129,-78.4667045,-83.67437442928119,-0.30447578982695245,0.0
484,16.940000000000058,-0.2866278471903567,-0.04761451852294596,2.3986764684466015,5.365551298088718,-0.46402456036929873,-0.05722935657336127,0.5996691171116504,0.07394040522930542,-78.4667045,-78.7711494,-83.86826040796127,-0.30447578982695245,0.0
485,16.97500000000006,-0.28703735201238656,-0.043411404839214546,2.4082257121401978,5.360555662896788,-0.4658814774577171,-0.04888928715276513,0.6020564280350494,0.062481079519344056,-78.7711494,-79.0129475,-84.01359871552808,-0.30447578982695245,0.0
486,17.01000000000006,-0.28747899036212043,-0.03922163695193312,2.4161685274526743,5.356331776450549,-0.46744619519857145,-0.040531037625549,0.6040421318631686,0.050991147200340224,-79.0129475,-79.2047041,-84.10600950223711,-0.30447578982695245,0.0
487,17.04500000000006,-0.2879573476046544,-0.03505009596073519,2.422501099925452,5.35288847298472,-0.4687181699340572,-0.03215990041658211,0.605625274981363,0.039477326634689364,-79.2047041,-79.3351072,-84.15247571736965,-0.30447578982695245,0.0
488,17.08000000000006,-0.2884765238503393,-0.030911095703278713,2.427220631030298,5.350232608305289,-0.46969708195278553,-0.02378399777226797,0.6068051577575745,0.027948222732582274,-79.3351072,-79.4099926,-84.14624796003294,-0.30447578982695245,0.0
489,17.11500000000006,-0.2890401865086081,-0.026814111610300617,2.4303255748164396,5.348368896788351,-0.4703828923923788,-0.015409983528629191,0.6075813937041099,0.016411447390368632,-79.4099926,-79.4252594,-84.09100784231208,-0.30447578982695245,0.0
490,17.15000000000006,-0.2896515380702178,-0.022772077706142792,2.431815437818044,5.347300019556561,-0.4707758018125594,-0.007045543505259129,0.607953859454511,0.004875295831352997,-79.4252594,-79.3845262,-83.9849432035872,-0.30447578982695245,0.0
491,17.18500000000006,-0.2903133185423816,-0.018794971236345118,2.4316908451917363,5.34702658798459,-0.47087626402306,0.0013025356623082409,0.6079227112979341,-0.00665254630254864,-79.3845262,-79.284441,-83.83097445708161,-0.30447578982695245,0.0
492,17.22000000000006,-0.29102780424604235,-0.014895647382091468,2.4299535332575073,5.347547153691812,-0.4706849845476632,0.00962660897148278,0.6074883833143768,-0.018163825302747037,-79.284441,-79.1244269,-83.62843771550497,-0.30447578982695245,0.0
493,17.25500000000006,-0.29179686106005676,-0.011087544692586077,2.4266064024627054,5.348858167578273,-0.4702029396263215,0.017918863061539368,0.6066516006156764,-0.029650180765455572,-79.1244269,-78.9040814,-83.37885525896645,-0.30447578982695245,0.0
494,17.29000000000006,-0.2926219689333318,-0.007384566466069359,2.421653532769186,5.350953980446621,-0.469431381853462,0.02617135171861478,0.6054133831922965,-0.04110316919443951,-78.9040814,-78.6232294,-83.08437141868728,-0.30447578982695245,0.0
495,17.32500000000006,-0.29350425098880795,-0.0038009321116274086,2.4151002496369753,5.35382682379527,-0.46837185515227686,0.034376041922513874,0.6037750624092438,-0.052514295911677666,-78.6232294,-78.2818982,-82.74781111283086,-0.30447578982695245,0.0
496,17.36000000000006,-0.29444449172795206,-0.0003509830743553266,2.406952954567858,5.357466923569989,-0.46702616276210257,0.04252486677318208,0.6017382386419645,-0.06387504592836196,-78.2818982,-77.8805075,-82.37267481097528,-0.30447578982695245,0.0
497,17.39500000000006,-0.29544316994984277,0.0029510737264753506,2.3972192933810357,5.361862443085321,-0.4653964001654482,0.0506098072830102,0.5993048233452589,-0.07517694249289646,-77.8805075,-77.4197705,-81.96325293003976,-0.30447578982695245,0.0
498,17.43000000000006,-0.29650047904160903,0.006091398672652737,2.3859080927749003,5.3669995578391205,-0.4634849414494253,0.05862296111728085,0.5964770231937251,-0.0864115920077581,-77.4197705,-76.9001356,-81.52455612524918,-0.30447578982695245,0.0
499,17.46500000000006,-0.29761635456982516,0.009056272495582218,2.3730293521477894,5.3728625060753945,-0.46129443652014396,0.066556468477833,0.5932573380369474,-0.09757063459285395,-76.9001356,-76.3235594,-81.06204689491601,-0.30447578982695245,0.0
500,17.50000000000006,-0.29879049208393216,0.011833329219376132,2.3585942214210966,5.379433658335215,-0.45882780310786037,0.07440288389547065,0.5896485553552742,-0.10864599353836193,-76.3235594,-76.4830249,-80.58247049830705,-0.30447578982695245,0.0
501,17.53500000000006,-0.30001292461167983,0.015072201038710764,2.3426056299151403,5.3867028111146595,-0.45608472999873295,0.08235417269720673,0.5856514074787851,-0.11976320878613239,-76.4830249,-77.2206068,-80.42837447135548,-0.30447578982695245,0.0
502,17.57000000000006,-0.30125633802999285,0.019291362765149644,2.3250507785824848,5.394674311692102,-0.4530588780536215,0.09056285271281794,0.5812626946456212,-0.1310214383779395,-77.2206068,-76.7266051,-80.40923666756602,-0.30447578982695245,0.0
503,17.60500000000006,-0.30249939530817915,0.023498552350642354,2.3059243356509493,5.403343931286371,-0.4497465351958619,0.09872628391625078,0.5764810839127373,-0.1422147877867156,-76.7266051,-75.5784774,-79.69743851847595,-0.30447578982695245,0.0
504,17.64000000000006,-0.30374163998819714,0.027183673790600493,2.285243003531381,5.412684963640485,-0.4461520428552139,0.10668686653226374,0.5713107508828452,-0.1532343813507455,-75.5784774,-74.4114384,-78.69337451059504,-0.30447578982695245,0.0
505,17.67500000000006,-0.30498926166808005,0.030366702449013405,2.2630312415306384,5.422662694207617,-0.4422824643564477,0.11444665049923079,0.5657578103826596,-0.16407830013659283,-74.4114384,-73.2610704,-77.73305065596303,-0.30447578982695245,0.0
506,17.71000000000006,-0.30624718118039196,0.03309661033077571,2.239313362666336,5.433242265683608,-0.4381446375443906,0.12201647170263706,0.559828340666584,-0.17475055497126166,-73.2610704,-72.1157336,-76.83477184953347,-0.30447578982695245,0.0
